query_item,recommendation_item,score,rank,recommendation_theme,model_version,created_at
52,3,0.1420129176660203,3,similarity,v1,2024-10-31 23:14:06.270190
53,1,0.9398343025546392,1,default,default,2024-10-31 23:14:06.270190
53,2,0.4524805393427589,2,default,default,2024-10-31 23:14:06.270190
53,3,0.2638551099726087,3,default,default,2024-10-31 23:14:06.270190
54,1,0.0322738201679817,1,default,default,2024-10-31 23:14:06.270190
54,2,0.9688787708886945,2,default,default,2024-10-31 23:14:06.270190
54,3,0.681137422261552,3,default,default,2024-10-31 23:14:06.270190
55,1,0.0544351992088205,1,default,default,2024-10-31 23:14:06.270190
55,2,0.4598147958603331,2,default,default,2024-10-31 23:14:06.270190
55,3,0.8788526357539737,3,default,default,2024-10-31 23:14:06.270190
56,1,0.4951643978774291,1,default,default,2024-10-31 23:14:06.270190
56,2,0.1152548524633542,2,default,default,2024-10-31 23:14:06.270190
56,3,0.7535857834299509,3,default,default,2024-10-31 23:14:06.270190
57,1,0.1045573331681054,1,default,default,2024-10-31 23:14:06.270190
57,2,0.9958412089682944,2,default,default,2024-10-31 23:14:06.270190
57,3,0.2380109801687872,3,default,default,2024-10-31 23:14:06.270190
58,1,0.8128043170667668,1,similarity,v1,2024-10-31 23:14:06.270190
58,2,0.1533263654483876,2,similarity,v1,2024-10-31 23:14:06.270190
58,3,0.1956090955855848,3,similarity,v1,2024-10-31 23:14:06.270190
59,1,0.4718136955989777,1,similarity,v1,2024-10-31 23:14:06.270190
59,2,0.9991007795848724,2,similarity,v1,2024-10-31 23:14:06.270190
59,3,0.7157250660249427,3,similarity,v1,2024-10-31 23:14:06.270190
60,1,0.9215783707073668,1,default,default,2024-10-31 23:14:06.270190
60,2,0.8752386914799741,2,default,default,2024-10-31 23:14:06.270190
60,3,0.2212846058144241,3,default,default,2024-10-31 23:14:06.270190
61,1,0.1356683289215021,1,default,default,2024-10-31 23:14:06.270190
61,2,0.2293081264522879,2,default,default,2024-10-31 23:14:06.270190
61,3,0.4888835255807285,3,default,default,2024-10-31 23:14:06.270190
62,1,0.4973680795516765,1,similarity,v1,2024-10-31 23:14:06.270190
62,2,0.5264807497083338,2,similarity,v1,2024-10-31 23:14:06.270190
62,3,0.02965497548488,3,similarity,v1,2024-10-31 23:14:06.270190
63,1,0.7096017991718576,1,similarity,v1,2024-10-31 23:14:06.270190
63,2,0.2335340801984819,2,similarity,v1,2024-10-31 23:14:06.270190
63,3,0.034382759204032,3,similarity,v1,2024-10-31 23:14:06.270190
64,1,0.4062551460509698,1,similarity,v1,2024-10-31 23:14:06.270190
64,2,0.5046002361112051,2,similarity,v1,2024-10-31 23:14:06.270190
64,3,0.5868446888577986,3,similarity,v1,2024-10-31 23:14:06.270190
65,1,0.8668520240143641,1,default,default,2024-10-31 23:14:06.270190
65,2,0.5268037450308055,2,default,default,2024-10-31 23:14:06.270190
65,3,0.3070190280924446,3,default,default,2024-10-31 23:14:06.270190
66,1,0.1153162184468908,1,similarity,v1,2024-10-31 23:14:06.270190
66,2,0.9790090564047246,2,similarity,v1,2024-10-31 23:14:06.270190
66,3,0.8539164301456854,3,similarity,v1,2024-10-31 23:14:06.270190
67,1,0.9892837503598167,1,similarity,v1,2024-10-31 23:14:06.270190
67,2,0.849778192594173,2,similarity,v1,2024-10-31 23:14:06.270190
67,3,0.0150433816371123,3,similarity,v1,2024-10-31 23:14:06.270190
68,1,0.2522720456632126,1,default,default,2024-10-31 23:14:06.270190
68,2,0.4175907728670324,2,default,default,2024-10-31 23:14:06.270190
68,3,0.8467972591982234,3,default,default,2024-10-31 23:14:06.270190
69,1,0.7195980250032272,1,similarity,v1,2024-10-31 23:14:06.270190
69,2,0.6886405061974668,2,similarity,v1,2024-10-31 23:14:06.270190
69,3,0.7467597250949546,3,similarity,v1,2024-10-31 23:14:06.270190
70,1,0.6920284117454656,1,similarity,v1,2024-10-31 23:14:06.270190
70,2,0.8506406108819928,2,similarity,v1,2024-10-31 23:14:06.270190
70,3,0.6470101594418715,3,similarity,v1,2024-10-31 23:14:06.270190
71,1,0.1714010105368424,1,similarity,v1,2024-10-31 23:14:06.270190
71,2,0.6518703312315122,2,similarity,v1,2024-10-31 23:14:06.270190
71,3,0.2491613392389464,3,similarity,v1,2024-10-31 23:14:06.270190
72,1,0.8234266883847333,1,default,default,2024-10-31 23:14:06.270190
72,2,0.0213770799150497,2,default,default,2024-10-31 23:14:06.270190
72,3,0.4459301404486522,3,default,default,2024-10-31 23:14:06.270190
73,1,0.1483848319496101,1,similarity,v1,2024-10-31 23:14:06.270190
73,2,0.4818675508446353,2,similarity,v1,2024-10-31 23:14:06.270190
73,3,0.6587506083214769,3,similarity,v1,2024-10-31 23:14:06.270190
74,1,0.6139625038727156,1,similarity,v1,2024-10-31 23:14:06.270190
74,2,0.0254536960065328,2,similarity,v1,2024-10-31 23:14:06.270190
74,3,0.6612870666402045,3,similarity,v1,2024-10-31 23:14:06.270190
75,1,0.8938326453542434,1,default,default,2024-10-31 23:14:06.270190
75,2,0.7727118353980718,2,default,default,2024-10-31 23:14:06.270190
75,3,0.0008770075002537,3,default,default,2024-10-31 23:14:06.270190
76,1,0.8556990628122825,1,default,default,2024-10-31 23:14:06.270190
76,2,0.907665424534285,2,default,default,2024-10-31 23:14:06.270190
76,3,0.7225027127673372,3,default,default,2024-10-31 23:14:06.270190
77,1,0.8418703240166785,1,similarity,v1,2024-10-31 23:14:06.270190
77,2,0.8407293753910071,2,similarity,v1,2024-10-31 23:14:06.270190
77,3,0.888202878134524,3,similarity,v1,2024-10-31 23:14:06.270190
78,1,0.4568732002454706,1,similarity,v1,2024-10-31 23:14:06.270190
78,2,0.2181148359629752,2,similarity,v1,2024-10-31 23:14:06.270190
78,3,0.7172336443452026,3,similarity,v1,2024-10-31 23:14:06.270190
79,1,0.4133856731218113,1,similarity,v1,2024-10-31 23:14:06.270190
79,2,0.7969891920331137,2,similarity,v1,2024-10-31 23:14:06.270190
79,3,0.578203131884761,3,similarity,v1,2024-10-31 23:14:06.270190
80,1,0.8089176975062381,1,default,default,2024-10-31 23:14:06.270190
80,2,0.0146740142446248,2,default,default,2024-10-31 23:14:06.270190
80,3,0.6363356310822252,3,default,default,2024-10-31 23:14:06.270190
81,1,0.9333192964857464,1,similarity,v1,2024-10-31 23:14:06.270190
81,2,0.5202619827947309,2,similarity,v1,2024-10-31 23:14:06.270190
81,3,0.4537423150179367,3,similarity,v1,2024-10-31 23:14:06.270190
82,1,0.030349697635953,1,default,default,2024-10-31 23:14:06.270190
82,2,0.3125267155384045,2,default,default,2024-10-31 23:14:06.270190
82,3,0.7455829178595182,3,default,default,2024-10-31 23:14:06.270190
83,1,0.9209144668590864,1,default,default,2024-10-31 23:14:06.270190
83,2,0.914245940455381,2,default,default,2024-10-31 23:14:06.270190
83,3,0.2983287965038687,3,default,default,2024-10-31 23:14:06.270190
84,1,0.4415579603937432,1,default,default,2024-10-31 23:14:06.270190
84,2,0.6745559468925766,2,default,default,2024-10-31 23:14:06.270190
84,3,0.5551417893493107,3,default,default,2024-10-31 23:14:06.270190
85,1,0.9848151618888128,1,default,default,2024-10-31 23:14:06.270190
85,2,0.4714343407069348,2,default,default,2024-10-31 23:14:06.270190
85,3,0.3221560434813271,3,default,default,2024-10-31 23:14:06.270190
86,1,0.8481122442106638,1,similarity,v1,2024-10-31 23:14:06.270190
86,2,0.5444103006391384,2,similarity,v1,2024-10-31 23:14:06.270190
86,3,0.2639604640999132,3,similarity,v1,2024-10-31 23:14:06.270190
87,1,0.2390650225051133,1,default,default,2024-10-31 23:14:06.270190
87,2,0.1174792493756597,2,default,default,2024-10-31 23:14:06.270190
87,3,0.7707172306102568,3,default,default,2024-10-31 23:14:06.270190
88,1,0.052801982809931,1,similarity,v1,2024-10-31 23:14:06.270190
88,2,0.3054029274652537,2,similarity,v1,2024-10-31 23:14:06.270190
88,3,0.3284002460376956,3,similarity,v1,2024-10-31 23:14:06.270190
89,1,0.2147365527542724,1,default,default,2024-10-31 23:14:06.270190
89,2,0.2284583645193908,2,default,default,2024-10-31 23:14:06.270190
89,3,0.6471688130543475,3,default,default,2024-10-31 23:14:06.270190
90,1,0.4847315986304207,1,similarity,v1,2024-10-31 23:14:06.270190
90,2,0.046163406096872,2,similarity,v1,2024-10-31 23:14:06.270190
90,3,0.8184240712130225,3,similarity,v1,2024-10-31 23:14:06.270190
91,1,0.6800435734316641,1,similarity,v1,2024-10-31 23:14:06.270190
91,2,0.016188021870628,2,similarity,v1,2024-10-31 23:14:06.270190
91,3,0.2752400795102053,3,similarity,v1,2024-10-31 23:14:06.270190
92,1,0.5379971514530179,1,default,default,2024-10-31 23:14:06.270190
92,2,0.2364864534459209,2,default,default,2024-10-31 23:14:06.270190
92,3,0.3172721053481422,3,default,default,2024-10-31 23:14:06.270190
93,1,0.0077738845788115,1,similarity,v1,2024-10-31 23:14:06.270190
93,2,0.6276514987338518,2,similarity,v1,2024-10-31 23:14:06.270190
93,3,0.0127709314270245,3,similarity,v1,2024-10-31 23:14:06.270190
94,1,0.9054015835617556,1,similarity,v1,2024-10-31 23:14:06.270190
94,2,0.9639057264968792,2,similarity,v1,2024-10-31 23:14:06.270190
94,3,0.683034762271354,3,similarity,v1,2024-10-31 23:14:06.270190
95,1,0.7833810041572195,1,default,default,2024-10-31 23:14:06.270190
95,2,0.0066145880155651,2,default,default,2024-10-31 23:14:06.270190
95,3,0.4131988947260848,3,default,default,2024-10-31 23:14:06.270190
96,1,0.1932062378504401,1,default,default,2024-10-31 23:14:06.270190
96,2,0.2643966161715593,2,default,default,2024-10-31 23:14:06.270190
96,3,0.1427182888368223,3,default,default,2024-10-31 23:14:06.270190
97,1,0.9040465111534666,1,similarity,v1,2024-10-31 23:14:06.270190
97,2,0.5460505941604838,2,similarity,v1,2024-10-31 23:14:06.270190
97,3,0.9759535648458948,3,similarity,v1,2024-10-31 23:14:06.270190
98,1,0.3684064528075704,1,default,default,2024-10-31 23:14:06.270190
98,2,0.8031258820341702,2,default,default,2024-10-31 23:14:06.270190
98,3,0.2115197898016434,3,default,default,2024-10-31 23:14:06.270190
99,1,0.8953598483734669,1,similarity,v1,2024-10-31 23:14:06.270190
99,2,0.8125897825662,2,similarity,v1,2024-10-31 23:14:06.270190
99,3,0.3871360282984116,3,similarity,v1,2024-10-31 23:14:06.270190
100,1,0.1522868018142483,1,similarity,v1,2024-10-31 23:14:06.270190
100,2,0.7197054895441896,2,similarity,v1,2024-10-31 23:14:06.270190
100,3,0.2795938049104032,3,similarity,v1,2024-10-31 23:14:06.270190
101,1,0.6291969230948199,1,default,default,2024-10-31 23:14:06.270190
101,2,0.0800156969563827,2,default,default,2024-10-31 23:14:06.270190
101,3,0.4574205008347056,3,default,default,2024-10-31 23:14:06.270190
102,1,0.4630929759585604,1,similarity,v1,2024-10-31 23:14:06.270190
102,2,0.301563932951729,2,similarity,v1,2024-10-31 23:14:06.270190
102,3,0.3277099748381484,3,similarity,v1,2024-10-31 23:14:06.270190
103,1,0.872256130890059,1,default,default,2024-10-31 23:14:06.270190
103,2,0.4493048169485737,2,default,default,2024-10-31 23:14:06.270190
103,3,0.2319192589925356,3,default,default,2024-10-31 23:14:06.270190
104,1,0.212642911021876,1,similarity,v1,2024-10-31 23:14:06.270190
104,2,0.1835019031641087,2,similarity,v1,2024-10-31 23:14:06.270190
104,3,0.6375477440746339,3,similarity,v1,2024-10-31 23:14:06.270190
105,1,0.8954851170264587,1,default,default,2024-10-31 23:14:06.270190
105,2,0.1990668563899654,2,default,default,2024-10-31 23:14:06.270190
105,3,0.5234698912401259,3,default,default,2024-10-31 23:14:06.270190
106,1,0.924851779403905,1,similarity,v1,2024-10-31 23:14:06.270190
106,2,0.3722121878454866,2,similarity,v1,2024-10-31 23:14:06.270190
106,3,0.440629717814274,3,similarity,v1,2024-10-31 23:14:06.270190
107,1,0.1838795172983216,1,default,default,2024-10-31 23:14:06.270190
107,2,0.8247527266020284,2,default,default,2024-10-31 23:14:06.270190
107,3,0.5141184684859298,3,default,default,2024-10-31 23:14:06.270190
108,1,0.5447620890626838,1,similarity,v1,2024-10-31 23:14:06.270190
108,2,0.2010438688931078,2,similarity,v1,2024-10-31 23:14:06.270190
108,3,0.0630727976506266,3,similarity,v1,2024-10-31 23:14:06.270190
109,1,0.6957183760010923,1,default,default,2024-10-31 23:14:06.270190
109,2,0.8405909176907564,2,default,default,2024-10-31 23:14:06.270190
109,3,0.1263960875723205,3,default,default,2024-10-31 23:14:06.270190
110,1,0.9401338078373892,1,default,default,2024-10-31 23:14:06.270190
110,2,0.9654770913365316,2,default,default,2024-10-31 23:14:06.270190
110,3,0.57033164407424,3,default,default,2024-10-31 23:14:06.270190
111,1,0.4140365523209992,1,default,default,2024-10-31 23:14:06.270190
111,2,0.4665068360234393,2,default,default,2024-10-31 23:14:06.270190
111,3,0.2699344121962964,3,default,default,2024-10-31 23:14:06.270190
112,1,0.7298990639505194,1,similarity,v1,2024-10-31 23:14:06.270190
112,2,0.0913004433614386,2,similarity,v1,2024-10-31 23:14:06.270190
112,3,0.2561910366663821,3,similarity,v1,2024-10-31 23:14:06.270190
113,1,0.5218650040498892,1,default,default,2024-10-31 23:14:06.270190
113,2,0.8812858750971582,2,default,default,2024-10-31 23:14:06.270190
113,3,0.327930100392933,3,default,default,2024-10-31 23:14:06.270190
114,1,0.4794467692239532,1,default,default,2024-10-31 23:14:06.270190
114,2,0.9480649601539196,2,default,default,2024-10-31 23:14:06.270190
114,3,0.3602461285728656,3,default,default,2024-10-31 23:14:06.270190
115,1,0.7300124125772205,1,similarity,v1,2024-10-31 23:14:06.270190
115,2,0.2213299399793223,2,similarity,v1,2024-10-31 23:14:06.270190
115,3,0.4208286648728182,3,similarity,v1,2024-10-31 23:14:06.270190
116,1,0.8819508999841016,1,default,default,2024-10-31 23:14:06.270190
116,2,0.9898899320633202,2,default,default,2024-10-31 23:14:06.270190
116,3,0.030582818751742,3,default,default,2024-10-31 23:14:06.270190
117,1,0.4471760106843955,1,similarity,v1,2024-10-31 23:14:06.270190
117,2,0.4458226773987631,2,similarity,v1,2024-10-31 23:14:06.270190
117,3,0.0696157768515851,3,similarity,v1,2024-10-31 23:14:06.270190
118,1,0.6318384547176198,1,default,default,2024-10-31 23:14:06.270190
118,2,0.0924731466015201,2,default,default,2024-10-31 23:14:06.270190
118,3,0.3916807962034666,3,default,default,2024-10-31 23:14:06.270190
119,1,0.6251178401264447,1,default,default,2024-10-31 23:14:06.270190
119,2,0.7154223507356219,2,default,default,2024-10-31 23:14:06.270190
119,3,0.6944605297721993,3,default,default,2024-10-31 23:14:06.270190
120,1,0.9980332064990128,1,default,default,2024-10-31 23:14:06.270190
120,2,0.1782256841454879,2,default,default,2024-10-31 23:14:06.270190
120,3,0.6049127287285979,3,default,default,2024-10-31 23:14:06.270190
121,1,0.7027739332788295,1,default,default,2024-10-31 23:14:06.270190
121,2,0.0983866659021968,2,default,default,2024-10-31 23:14:06.270190
121,3,0.9227124465996972,3,default,default,2024-10-31 23:14:06.270190
122,1,0.3948078342154912,1,similarity,v1,2024-10-31 23:14:06.270190
122,2,0.5012759565856526,2,similarity,v1,2024-10-31 23:14:06.270190
122,3,0.1965870086426518,3,similarity,v1,2024-10-31 23:14:06.270190
123,1,0.4355656228761194,1,similarity,v1,2024-10-31 23:14:06.270190
123,2,0.2957110251351026,2,similarity,v1,2024-10-31 23:14:06.270190
123,3,0.7122447658156658,3,similarity,v1,2024-10-31 23:14:06.270190
124,1,0.5694479901331845,1,default,default,2024-10-31 23:14:06.270190
124,2,0.2821213866560362,2,default,default,2024-10-31 23:14:06.270190
124,3,0.8595357010308504,3,default,default,2024-10-31 23:14:06.270190
125,1,0.6743261322724873,1,similarity,v1,2024-10-31 23:14:06.270190
125,2,0.2560824219631904,2,similarity,v1,2024-10-31 23:14:06.270190
125,3,0.4524231646456285,3,similarity,v1,2024-10-31 23:14:06.270190
126,1,0.6186520928156234,1,default,default,2024-10-31 23:14:06.270190
126,2,0.1739290899246501,2,default,default,2024-10-31 23:14:06.270190
126,3,0.3164819694892602,3,default,default,2024-10-31 23:14:06.270190
127,1,0.230826547620679,1,similarity,v1,2024-10-31 23:14:06.270190
127,2,0.5952743376171549,2,similarity,v1,2024-10-31 23:14:06.270190
127,3,0.9813003798638286,3,similarity,v1,2024-10-31 23:14:06.270190
128,1,0.7657131863450216,1,similarity,v1,2024-10-31 23:14:06.270190
128,2,0.3148763790416614,2,similarity,v1,2024-10-31 23:14:06.270190
